x,y
-2.9e-08,3e-08
0.201931,0.0023644
0.40198,-0.000471996
0.603927,0.00452687
0.807413,0.00540924
1.00914,0.000755669
1.21275,-0.00289858
1.41783,0.00217272
1.61801,0.00636799
1.82087,0.00252152
2.02766,-0.00387721
2.23146,-0.00532493
2.43877,-0.00198577
2.64644,4.60185e-05
2.85059,-9.84412e-06
3.05833,-0.00181725
3.2655,-0.00560786
3.47193,-0.00947915
3.67607,-0.00823816
3.87723,-0.00321548
4.08517,0.00264973
4.29658,0.00709087
4.50034,0.00838739
4.70816,0.00693948
4.91955,0.00407112
5.12508,0.00107817
5.33013,-0.00134977
5.53505,-0.00294379
5.74814,-0.00402143
5.94819,-0.00474118
6.14872,-0.00540795
6.35131,-0.00628023
6.55727,-0.00755291
6.7638,-0.00876253
6.96569,-0.00906505
7.17342,-0.00764954
7.37402,-0.00492806
7.5869,-0.00158955
7.78981,0.00140346
7.99558,0.004249
8.1977,0.0054973
8.40003,0.00508183
8.60147,0.00523547
8.80776,0.00787782
9.00845,0.0117678
9.21626,0.0149048
9.41904,0.0176965
9.6208,0.0204274
9.82181,0.0227467
10.0253,0.0226907
10.2306,0.0206693
10.4385,0.0197929
10.6493,0.0188395
10.8544,0.0172198
11.0565,0.014867
11.2647,0.012173
11.4674,0.0103826
11.676,0.011086
11.8767,0.0159455
12.0839,0.0259755
12.2895,0.0382653
12.4897,0.0430594
12.7008,0.0414337
12.9062,0.0398459
13.1109,0.0401096
13.3153,0.0410294
13.52,0.0412736
13.725,0.0396159
13.9298,0.037949
14.1342,0.0410006
14.3437,0.0489412
14.5438,0.0563731
14.7553,0.0627225
14.9625,0.0694878
15.1658,0.0780354
15.3687,0.0865433
15.5696,0.0926089
15.7815,0.0975906
15.9868,0.103134
16.1886,0.112034
16.3919,0.127115
16.5939,0.14811
16.7947,0.172741
16.9948,0.198358
17.194,0.221575
17.4052,0.240591
17.6136,0.256846
17.8168,0.276414
18.0219,0.303801
18.2277,0.341484
18.424,0.388073
18.6184,0.438395
18.8139,0.496178
19.0051,0.572269
19.1897,0.667616
19.3646,0.770275
19.5384,0.878504
19.7111,0.988241
19.8827,1.09998
20.0458,1.21784
20.1915,1.35768
20.3288,1.51341
20.4721,1.6586
20.6197,1.79825
20.7647,1.94406
20.8994,2.10029
21.0232,2.26282
21.133,2.43082
21.226,2.61532
21.3115,2.80472
21.4022,2.98596
21.4917,3.17166
21.5701,3.36406
21.6346,3.56016
21.6787,3.76115
21.6944,3.96809
21.7154,4.16865
21.755,4.36485
21.7973,4.56933
21.8301,4.76805
21.856,4.97076
21.878,5.17457
21.8983,5.38293
21.9141,5.58274
21.9252,5.78663
21.9321,5.98756
21.938,6.19325
21.9447,6.39422
21.9533,6.59826
21.9637,6.8044
21.9749,7.00972
21.9853,7.21087
21.9951,7.41587
22.0048,7.62266
22.0151,7.82887
22.0268,8.0407
22.039,8.24322
22.0521,8.44841
22.0656,8.65623
22.079,8.86517
22.0906,9.07408
22.0992,9.28212
22.1069,9.49003
22.1186,9.69964
22.1344,9.91164
22.147,10.1117
22.1535,10.3195
22.1591,10.5271
22.1772,10.7312
22.1796,10.9403
22.1784,11.1415
22.1863,11.347
22.1963,11.5532
22.2068,11.757
22.218,11.9608
22.2265,12.1708
22.2328,12.3759
22.2384,12.582
22.2465,12.7927
22.254,12.996
22.261,13.1965
22.2711,13.4013
22.2906,13.6079
22.3042,13.8156
22.3108,14.0216
22.3169,14.2249
22.3252,14.4301
22.3317,14.6322
22.3298,14.8348
22.3297,15.0384
22.334,15.2433
22.3386,15.4443
22.3481,15.6482
22.3601,15.851
22.3743,16.0566
22.3897,16.2615
22.4034,16.4657
22.4139,16.6697
22.4237,16.8724
22.436,17.0726
22.4501,17.2796
22.4592,17.4857
22.4613,17.6917
22.4658,17.8937
22.4756,18.0993
22.4832,18.3108
22.4829,18.5194
22.4827,18.7255
22.493,18.9319
22.5081,19.1385
22.5132,19.3437
22.5052,19.547
22.496,19.7496
22.4943,19.9526
22.4979,20.1569
22.5033,20.3624
22.5096,20.5624
22.518,20.7708
22.5265,20.981
22.5309,21.1919
22.5317,21.4041
22.5305,21.6076
22.5291,21.8111
22.5296,22.0147
22.5326,22.2158
22.5365,22.4187
22.5397,22.6259
22.5437,22.8332
22.5498,23.0342
22.5564,23.2401
22.5619,23.4498
22.5651,23.6571
22.5652,23.8591
22.5644,24.0607
22.5657,24.2609
22.569,24.4612
22.573,24.6678
22.5733,24.8734
22.5675,25.0802
22.5621,25.2808
22.5598,25.4861
22.5614,25.6918
22.5653,25.8998
22.5704,26.1016
22.5782,26.3022
22.5878,26.5101
22.5921,26.7202
22.5911,26.9261
22.5913,27.1289
22.5942,27.3402
22.5973,27.5473
22.5987,27.7559
22.5969,27.9652
22.592,28.1739
22.5881,28.38
22.5872,28.5847
22.5897,28.7921
22.5958,28.9965
22.6034,29.201
22.6105,29.4117
22.6153,29.6117
22.6175,29.8165
22.6192,30.0192
22.6223,30.2258
22.6256,30.4352
22.6275,30.6446
22.6296,30.8535
22.6338,31.0624
22.6391,31.2718
22.6431,31.483
22.6459,31.688
22.6492,31.8926
